Customer_ID,First_Name,Last_Name,Email,Phone_No,Address,City,State,Country,Postal_Code,DOB
1,John,Doe,john@doe.com,1234567890,123 Elm St,New York,NY,USA,10001,1990-05-15
2,Jane,Smith,jane@smith.com,987654321,456 Oak St,Chicago,IL,USA,60616,1985-08-22
3,Bob,Brown,bob@brown.com,5555555555,789 Pine St,Houston,TX,USA,77002,2000-12-02
4,Alice,Johnson,alice@johnson.com,1112223333,101 Maple Ave,Los Angeles,CA,USA,90001,1988-03-30
5,Charlie,Wilson,charlie@wilson.com,4445556666,202 Birch Rd,Miami,FL,USA,33101,1995-11-11
6,Eva,Garcia,eva@garcia.com,7778889999,303 Cedar Ln,Seattle,WA,USA,98101,1992-07-18
7,David,Lee,david@lee.com,3334445555,404 Spruce Dr,Boston,MA,USA,2108,1987-09-25
8,Grace,Taylor,grace@taylor.com,6667778888,505 Willow Way,Denver,CO,USA,80201,1998-02-14
9,Frank,Anderson,frank@anderson.com,9990001111,606 Ash Blvd,Phoenix,AZ,USA,85001,1993-06-07
10,Helen,Martinez,helen@martinez.com,2223334444,707 Redwood St,San Francisco,CA,USA,94101,1991-04-19
11,Ian,Wright,ian@wright.com,8889990000,808 Sequoia Pl,Portland,OR,USA,97201,1989-10-31
12,Julia,Lopez,julia@lopez.com,5556667777,909 Fir Ave,Dallas,TX,USA,75201,1997-01-23
13,Kevin,Hill,kevin@hill.com,1113335555,1010 Palm Dr,San Diego,CA,USA,92101,1994-12-05
14,Laura,Scott,laura@scott.com,7779991111,1111 Magnolia Rd,Atlanta,GA,USA,30301,1986-08-09
15,Michael,Green,michael@green.com,3335557777,1212 Cypress Ln,Nashville,TN,USA,37201,1999-03-17
