"id";"name";"email";"password";"role"
1;"Rishabh";"admin@gmail.com";"$2b$10$70H7ZhP6Sgx0O1sALHdNYOoK6m4Db9huo439itQhESlEFqG2geBP.";"customer"
2;"Gada Elec";"S@gmail.com";"$2b$10$KiQv2GZNuyxZNZfr6OClm.R31UE0Po7y9DT0nwoaLvLL0Sz/sdidW";"salesman"
3;"Amazon";"store@gmail.com";"$2b$10$AXgIQj1da5z9ErnPisaWAO5Kdo6eaSMRK6yMTyp98AOfmvZZOXcR2";"storeManager"
4;"New User";"admin1@gmail.com";"$2b$10$Ll4sh2q81aGzNAjIyyZpkeN6qyzcD0zOMESWSRzKSvPrPQmDySRZ2";"customer"
5;"Purnendu";"p@gmail.com";"$2b$10$7mKwSoQaR7/uTVrHgXhs8uIiJFzdHYwr3lQYYNSedq0j5RmmWo2lO";"salesman"
6;"Purnendu";"p@gmail.com";"$2b$10$Vzgevj4LYP2dtL8AVDX9I.A9n3JCDwbz47Y0WuuJJDlxQH8/etAoS";"customer"
7;"Purnendu";"p1@gmail.com";"p";"customer"
12;"Store";"s@gmail.com";"s";"storeManager"
13;"Test";"admin@gmail.com";"admin";"storeManager"
14;"Test2";"test@gmail.com";"t";"storeManager"
15;"Test2";"t1@gmail.com";"t";"customer"
16;"Test3";"t2@gmail.com";"t";"customer"
17;"Test8";"t8@gmail.com";"t";"customer"
18;"Test9";"t9@gmail.com";"t";"customer"
19;"Test10";"t10@gmail.com";"t";"customer"
20;"Gawade";"g@gmail.com";"g";"storeManager"
21;"Apurv";"a@gmail.com";"a";"customer"
